"STATISTIC Label","Year","Direction","Mode","UNIT","VALUE"
"Air and Sea Travel","2010","Arrivals","All modes of transport","Thousand","12902.2"
"Air and Sea Travel","2010","Arrivals","Air","Thousand","11400.6"
"Air and Sea Travel","2010","Arrivals","Sea","Thousand","1501.7"
"Air and Sea Travel","2010","Departures","All modes of transport","Thousand","12920.2"
"Air and Sea Travel","2010","Departures","Air","Thousand","11425.3"
"Air and Sea Travel","2010","Departures","Sea","Thousand","1494.9"
"Air and Sea Travel","2011","Arrivals","All modes of transport","Thousand","13049.7"
"Air and Sea Travel","2011","Arrivals","Air","Thousand","11647.5"
"Air and Sea Travel","2011","Arrivals","Sea","Thousand","1402.2"
"Air and Sea Travel","2011","Departures","All modes of transport","Thousand","13109.7"
"Air and Sea Travel","2011","Departures","Air","Thousand","11707.1"
"Air and Sea Travel","2011","Departures","Sea","Thousand","1402.5"
"Air and Sea Travel","2012","Arrivals","All modes of transport","Thousand","13142"
"Air and Sea Travel","2012","Arrivals","Air","Thousand","11806.7"
"Air and Sea Travel","2012","Arrivals","Sea","Thousand","1335.3"
"Air and Sea Travel","2012","Departures","All modes of transport","Thousand","13161.6"
"Air and Sea Travel","2012","Departures","Air","Thousand","11839.7"
"Air and Sea Travel","2012","Departures","Sea","Thousand","1321.9"
"Air and Sea Travel","2013","Arrivals","All modes of transport","Thousand","13632.9"
"Air and Sea Travel","2013","Arrivals","Air","Thousand","12287.7"
"Air and Sea Travel","2013","Arrivals","Sea","Thousand","1345.2"
"Air and Sea Travel","2013","Departures","All modes of transport","Thousand","13655.2"
"Air and Sea Travel","2013","Departures","Air","Thousand","12314.5"
"Air and Sea Travel","2013","Departures","Sea","Thousand","1340.7"
"Air and Sea Travel","2014","Arrivals","All modes of transport","Thousand","14546.8"
"Air and Sea Travel","2014","Arrivals","Air","Thousand","13138.8"
"Air and Sea Travel","2014","Arrivals","Sea","Thousand","1408"
"Air and Sea Travel","2014","Departures","All modes of transport","Thousand","14570.5"
"Air and Sea Travel","2014","Departures","Air","Thousand","13169.5"
"Air and Sea Travel","2014","Departures","Sea","Thousand","1401"
"Air and Sea Travel","2015","Arrivals","All modes of transport","Thousand","16100.3"
"Air and Sea Travel","2015","Arrivals","Air","Thousand","14744.6"
"Air and Sea Travel","2015","Arrivals","Sea","Thousand","1355.6"
"Air and Sea Travel","2015","Departures","All modes of transport","Thousand","16138.5"
"Air and Sea Travel","2015","Departures","Air","Thousand","14790.4"
"Air and Sea Travel","2015","Departures","Sea","Thousand","1348.1"
"Air and Sea Travel","2016","Arrivals","All modes of transport","Thousand","17532.6"
"Air and Sea Travel","2016","Arrivals","Air","Thousand","16232.4"
"Air and Sea Travel","2016","Arrivals","Sea","Thousand","1300.2"
"Air and Sea Travel","2016","Departures","All modes of transport","Thousand","17608.1"
"Air and Sea Travel","2016","Departures","Air","Thousand","16318.9"
"Air and Sea Travel","2016","Departures","Sea","Thousand","1289.2"
"Air and Sea Travel","2017","Arrivals","All modes of transport","Thousand","18399.4"
"Air and Sea Travel","2017","Arrivals","Air","Thousand","17076"
"Air and Sea Travel","2017","Arrivals","Sea","Thousand","1323.3"
"Air and Sea Travel","2017","Departures","All modes of transport","Thousand","18448.8"
"Air and Sea Travel","2017","Departures","Air","Thousand","17139.8"
"Air and Sea Travel","2017","Departures","Sea","Thousand","1309"
"Air and Sea Travel","2018","Arrivals","All modes of transport","Thousand","19395.9"
"Air and Sea Travel","2018","Arrivals","Air","Thousand","18102.2"
"Air and Sea Travel","2018","Arrivals","Sea","Thousand","1293.7"
"Air and Sea Travel","2018","Departures","All modes of transport","Thousand","19456.3"
"Air and Sea Travel","2018","Departures","Air","Thousand","18180.6"
"Air and Sea Travel","2018","Departures","Sea","Thousand","1275.7"
"Air and Sea Travel","2019","Arrivals","All modes of transport","Thousand","20143.7"
"Air and Sea Travel","2019","Arrivals","Air","Thousand","18907.5"
"Air and Sea Travel","2019","Arrivals","Sea","Thousand","1236.2"
"Air and Sea Travel","2019","Departures","All modes of transport","Thousand","20205.3"
"Air and Sea Travel","2019","Departures","Air","Thousand","18975.1"
"Air and Sea Travel","2019","Departures","Sea","Thousand","1230.3"
"Air and Sea Travel","2020","Arrivals","All modes of transport","Thousand","4460.2"
"Air and Sea Travel","2020","Arrivals","Air","Thousand","4135.7"
"Air and Sea Travel","2020","Arrivals","Sea","Thousand","324.5"
"Air and Sea Travel","2020","Departures","All modes of transport","Thousand","4452.6"
"Air and Sea Travel","2020","Departures","Air","Thousand","4114.7"
"Air and Sea Travel","2020","Departures","Sea","Thousand","338"
"Air and Sea Travel","2021","Arrivals","All modes of transport","Thousand","4955.9"
"Air and Sea Travel","2021","Arrivals","Air","Thousand","4516.6"
"Air and Sea Travel","2021","Arrivals","Sea","Thousand","439.3"
"Air and Sea Travel","2021","Departures","All modes of transport","Thousand","5022"
"Air and Sea Travel","2021","Departures","Air","Thousand","4559.4"
"Air and Sea Travel","2021","Departures","Sea","Thousand","462.6"
"Air and Sea Travel","2022","Arrivals","All modes of transport","Thousand","17257"
"Air and Sea Travel","2022","Arrivals","Air","Thousand","16193.2"
"Air and Sea Travel","2022","Arrivals","Sea","Thousand","1063.8"
"Air and Sea Travel","2022","Departures","All modes of transport","Thousand","17172.3"
"Air and Sea Travel","2022","Departures","Air","Thousand","16117.4"
"Air and Sea Travel","2022","Departures","Sea","Thousand","1054.9"
"Air and Sea Travel","2023","Arrivals","All modes of transport","Thousand","20625.6"
"Air and Sea Travel","2023","Arrivals","Air","Thousand","19481"
"Air and Sea Travel","2023","Arrivals","Sea","Thousand","1144.6"
"Air and Sea Travel","2023","Departures","All modes of transport","Thousand","20626.2"
"Air and Sea Travel","2023","Departures","Air","Thousand","19476.1"
"Air and Sea Travel","2023","Departures","Sea","Thousand","1150.1"
