"Statistic Label","Year","Main County Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Domestic Travel","2010","Kerry","Thousand","3093"
"Number of Nights by Irish Residents on Domestic Travel","2010","Tipperary","Thousand","280"
"Number of Nights by Irish Residents on Domestic Travel","2010","Kildare and Carlow","Thousand","375"
"Number of Nights by Irish Residents on Domestic Travel","2010","Laois and Offaly","Thousand","235"
"Number of Nights by Irish Residents on Domestic Travel","2010","Louth and Monaghan","Thousand","318"
"Number of Nights by Irish Residents on Domestic Travel","2010","Cavan and Leitrim","Thousand","457"
"Number of Nights by Irish Residents on Domestic Travel","2010","Roscommon and Longford","Thousand","393"
"Number of Nights by Irish Residents on Domestic Travel","2011","State","Thousand","21628"
"Number of Nights by Irish Residents on Domestic Travel","2011","Donegal","Thousand","1122"
"Number of Nights by Irish Residents on Domestic Travel","2011","Sligo","Thousand","561"
"Number of Nights by Irish Residents on Domestic Travel","2011","Westmeath","Thousand","281"
"Number of Nights by Irish Residents on Domestic Travel","2011","Galway","Thousand","2048"
"Number of Nights by Irish Residents on Domestic Travel","2011","Mayo","Thousand","1285"
"Number of Nights by Irish Residents on Domestic Travel","2011","Dublin","Thousand","2956"
"Number of Nights by Irish Residents on Domestic Travel","2011","Meath","Thousand","319"
"Number of Nights by Irish Residents on Domestic Travel","2011","Wicklow","Thousand","620"
"Number of Nights by Irish Residents on Domestic Travel","2011","Clare","Thousand","1427"
"Number of Nights by Irish Residents on Domestic Travel","2011","Limerick","Thousand","398"
"Number of Nights by Irish Residents on Domestic Travel","2011","Kilkenny","Thousand","340"
"Number of Nights by Irish Residents on Domestic Travel","2011","Waterford","Thousand","1097"
"Number of Nights by Irish Residents on Domestic Travel","2011","Wexford","Thousand","1974"
"Number of Nights by Irish Residents on Domestic Travel","2011","Cork","Thousand","2813"
"Number of Nights by Irish Residents on Domestic Travel","2011","Kerry","Thousand","2518"
"Number of Nights by Irish Residents on Domestic Travel","2011","Tipperary","Thousand","340"
"Number of Nights by Irish Residents on Domestic Travel","2011","Kildare and Carlow","Thousand","441"
"Number of Nights by Irish Residents on Domestic Travel","2011","Laois and Offaly","Thousand","244"
"Number of Nights by Irish Residents on Domestic Travel","2011","Louth and Monaghan","Thousand","262"
"Number of Nights by Irish Residents on Domestic Travel","2011","Cavan and Leitrim","Thousand","418"
"Number of Nights by Irish Residents on Domestic Travel","2011","Roscommon and Longford","Thousand","165"
"Number of Nights by Irish Residents on Domestic Travel","2012","State","Thousand","23703"
"Number of Nights by Irish Residents on Domestic Travel","2012","Donegal","Thousand","1170"
"Number of Nights by Irish Residents on Domestic Travel","2012","Sligo","Thousand","627"
"Number of Nights by Irish Residents on Domestic Travel","2012","Westmeath","Thousand","291"
"Number of Nights by Irish Residents on Domestic Travel","2012","Galway","Thousand","2298"
"Number of Nights by Irish Residents on Domestic Travel","2012","Mayo","Thousand","1354"
"Number of Nights by Irish Residents on Domestic Travel","2012","Dublin","Thousand","3824"
"Number of Nights by Irish Residents on Domestic Travel","2012","Meath","Thousand","458"
"Number of Nights by Irish Residents on Domestic Travel","2012","Wicklow","Thousand","627"
"Number of Nights by Irish Residents on Domestic Travel","2012","Clare","Thousand","1411"
"Number of Nights by Irish Residents on Domestic Travel","2012","Limerick","Thousand","404"
"Number of Nights by Irish Residents on Domestic Travel","2012","Kilkenny","Thousand","456"
"Number of Nights by Irish Residents on Domestic Travel","2012","Waterford","Thousand","1023"
"Number of Nights by Irish Residents on Domestic Travel","2012","Wexford","Thousand","1748"
"Number of Nights by Irish Residents on Domestic Travel","2012","Cork","Thousand","2889"
"Number of Nights by Irish Residents on Domestic Travel","2012","Kerry","Thousand","2749"
"Number of Nights by Irish Residents on Domestic Travel","2012","Tipperary","Thousand","475"
"Number of Nights by Irish Residents on Domestic Travel","2012","Kildare and Carlow","Thousand","562"
"Number of Nights by Irish Residents on Domestic Travel","2012","Laois and Offaly","Thousand","304"
"Number of Nights by Irish Residents on Domestic Travel","2012","Louth and Monaghan","Thousand","244"
"Number of Nights by Irish Residents on Domestic Travel","2012","Cavan and Leitrim","Thousand","485"
"Number of Nights by Irish Residents on Domestic Travel","2012","Roscommon and Longford","Thousand","305"
"Number of Nights by Irish Residents on Domestic Travel","2013","State","Thousand","24195"
"Number of Nights by Irish Residents on Domestic Travel","2013","Donegal","Thousand","1126"
"Number of Nights by Irish Residents on Domestic Travel","2013","Sligo","Thousand","700"
"Number of Nights by Irish Residents on Domestic Travel","2013","Westmeath","Thousand","326"
"Number of Nights by Irish Residents on Domestic Travel","2013","Galway","Thousand","2502"
"Number of Nights by Irish Residents on Domestic Travel","2013","Mayo","Thousand","1820"
"Number of Nights by Irish Residents on Domestic Travel","2013","Dublin","Thousand","3179"
"Number of Nights by Irish Residents on Domestic Travel","2013","Meath","Thousand","344"
"Number of Nights by Irish Residents on Domestic Travel","2013","Wicklow","Thousand","575"
"Number of Nights by Irish Residents on Domestic Travel","2013","Clare","Thousand","1447"
"Number of Nights by Irish Residents on Domestic Travel","2013","Limerick","Thousand","621"
"Number of Nights by Irish Residents on Domestic Travel","2013","Kilkenny","Thousand","600"
"Number of Nights by Irish Residents on Domestic Travel","2013","Waterford","Thousand","850"
"Number of Nights by Irish Residents on Domestic Travel","2013","Wexford","Thousand","1857"
"Number of Nights by Irish Residents on Domestic Travel","2013","Cork","Thousand","2505"
"Number of Nights by Irish Residents on Domestic Travel","2013","Kerry","Thousand","3332"
"Number of Nights by Irish Residents on Domestic Travel","2013","Tipperary","Thousand","378"
"Number of Nights by Irish Residents on Domestic Travel","2013","Kildare and Carlow","Thousand","414"
"Number of Nights by Irish Residents on Domestic Travel","2013","Laois and Offaly","Thousand","340"
"Number of Nights by Irish Residents on Domestic Travel","2013","Louth and Monaghan","Thousand","311"
"Number of Nights by Irish Residents on Domestic Travel","2013","Cavan and Leitrim","Thousand","656"
"Number of Nights by Irish Residents on Domestic Travel","2013","Roscommon and Longford","Thousand","315"
"Number of Nights by Irish Residents on Domestic Travel","2014","State","Thousand","26086"
"Number of Nights by Irish Residents on Domestic Travel","2014","Donegal","Thousand","1399"
"Number of Nights by Irish Residents on Domestic Travel","2014","Sligo","Thousand","674"
"Number of Nights by Irish Residents on Domestic Travel","2014","Westmeath","Thousand","327"
"Number of Nights by Irish Residents on Domestic Travel","2014","Galway","Thousand","3153"
"Number of Nights by Irish Residents on Domestic Travel","2014","Mayo","Thousand","1860"
"Number of Nights by Irish Residents on Domestic Travel","2014","Dublin","Thousand","3662"
"Number of Nights by Irish Residents on Domestic Travel","2014","Meath","Thousand","318"
"Number of Nights by Irish Residents on Domestic Travel","2014","Wicklow","Thousand","605"
"Number of Nights by Irish Residents on Domestic Travel","2014","Clare","Thousand","1305"
"Number of Nights by Irish Residents on Domestic Travel","2014","Limerick","Thousand","615"
"Number of Nights by Irish Residents on Domestic Travel","2014","Kilkenny","Thousand","377"
"Number of Nights by Irish Residents on Domestic Travel","2014","Waterford","Thousand","1156"
"Number of Nights by Irish Residents on Domestic Travel","2014","Wexford","Thousand","2199"
"Number of Nights by Irish Residents on Domestic Travel","2014","Cork","Thousand","2686"
"Number of Nights by Irish Residents on Domestic Travel","2014","Kerry","Thousand","3111"
"Number of Nights by Irish Residents on Domestic Travel","2014","Tipperary","Thousand","435"
"Number of Nights by Irish Residents on Domestic Travel","2014","Kildare and Carlow","Thousand","477"
"Number of Nights by Irish Residents on Domestic Travel","2014","Laois and Offaly","Thousand","437"
"Number of Nights by Irish Residents on Domestic Travel","2014","Louth and Monaghan","Thousand","479"
"Number of Nights by Irish Residents on Domestic Travel","2014","Cavan and Leitrim","Thousand","390"
"Number of Nights by Irish Residents on Domestic Travel","2014","Roscommon and Longford","Thousand","421"
"Number of Nights by Irish Residents on Domestic Travel","2015","State","Thousand","25267"
"Number of Nights by Irish Residents on Domestic Travel","2015","Donegal","Thousand","1139"
"Number of Nights by Irish Residents on Domestic Travel","2015","Sligo","Thousand","921"
"Number of Nights by Irish Residents on Domestic Travel","2015","Westmeath","Thousand","425"
"Number of Nights by Irish Residents on Domestic Travel","2015","Galway","Thousand","2922"
"Number of Nights by Irish Residents on Domestic Travel","2015","Mayo","Thousand","1405"
"Number of Nights by Irish Residents on Domestic Travel","2015","Dublin","Thousand","3267"
"Number of Nights by Irish Residents on Domestic Travel","2015","Meath","Thousand","355"
"Number of Nights by Irish Residents on Domestic Travel","2015","Wicklow","Thousand","778"
"Number of Nights by Irish Residents on Domestic Travel","2015","Clare","Thousand","1523"
"Number of Nights by Irish Residents on Domestic Travel","2015","Limerick","Thousand","483"
"Number of Nights by Irish Residents on Domestic Travel","2015","Kilkenny","Thousand","453"
"Number of Nights by Irish Residents on Domestic Travel","2015","Waterford","Thousand","938"
"Number of Nights by Irish Residents on Domestic Travel","2015","Wexford","Thousand","2107"
"Number of Nights by Irish Residents on Domestic Travel","2015","Cork","Thousand","2574"
"Number of Nights by Irish Residents on Domestic Travel","2015","Kerry","Thousand","3053"
"Number of Nights by Irish Residents on Domestic Travel","2015","Tipperary","Thousand","564"
"Number of Nights by Irish Residents on Domestic Travel","2015","Kildare and Carlow","Thousand","601"
"Number of Nights by Irish Residents on Domestic Travel","2015","Laois and Offaly","Thousand","374"
"Number of Nights by Irish Residents on Domestic Travel","2015","Louth and Monaghan","Thousand","366"
"Number of Nights by Irish Residents on Domestic Travel","2015","Cavan and Leitrim","Thousand","594"
"Number of Nights by Irish Residents on Domestic Travel","2015","Roscommon and Longford","Thousand","425"
"Number of Nights by Irish Residents on Domestic Travel","2016","State","Thousand","25589"
"Number of Nights by Irish Residents on Domestic Travel","2016","Donegal","Thousand","1480"
"Number of Nights by Irish Residents on Domestic Travel","2016","Sligo","Thousand","671"
"Number of Nights by Irish Residents on Domestic Travel","2016","Westmeath","Thousand","297"
"Number of Nights by Irish Residents on Domestic Travel","2016","Galway","Thousand","2872"
"Number of Nights by Irish Residents on Domestic Travel","2016","Mayo","Thousand","1562"
"Number of Nights by Irish Residents on Domestic Travel","2016","Dublin","Thousand","3096"
"Number of Nights by Irish Residents on Domestic Travel","2016","Meath","Thousand","381"
"Number of Nights by Irish Residents on Domestic Travel","2016","Wicklow","Thousand","1060"
"Number of Nights by Irish Residents on Domestic Travel","2016","Clare","Thousand","1808"
"Number of Nights by Irish Residents on Domestic Travel","2016","Limerick","Thousand","497"
"Number of Nights by Irish Residents on Domestic Travel","2016","Kilkenny","Thousand","582"
"Number of Nights by Irish Residents on Domestic Travel","2016","Waterford","Thousand","947"
"Number of Nights by Irish Residents on Domestic Travel","2016","Wexford","Thousand","1952"
"Number of Nights by Irish Residents on Domestic Travel","2016","Cork","Thousand","2902"
"Number of Nights by Irish Residents on Domestic Travel","2016","Kerry","Thousand","2904"
"Number of Nights by Irish Residents on Domestic Travel","2016","Tipperary","Thousand","495"
"Number of Nights by Irish Residents on Domestic Travel","2016","Kildare and Carlow","Thousand","434"
"Number of Nights by Irish Residents on Domestic Travel","2016","Laois and Offaly","Thousand","354"
"Number of Nights by Irish Residents on Domestic Travel","2016","Louth and Monaghan","Thousand","464"
"Number of Nights by Irish Residents on Domestic Travel","2016","Cavan and Leitrim","Thousand","573"
"Number of Nights by Irish Residents on Domestic Travel","2016","Roscommon and Longford","Thousand","259"
"Number of Nights by Irish Residents on Domestic Travel","2017","State","Thousand","25539"
"Number of Nights by Irish Residents on Domestic Travel","2017","Donegal","Thousand","1370"
"Number of Nights by Irish Residents on Domestic Travel","2017","Sligo","Thousand","734"
"Number of Nights by Irish Residents on Domestic Travel","2017","Westmeath","Thousand","261"
"Number of Nights by Irish Residents on Domestic Travel","2017","Galway","Thousand","3533"
"Number of Nights by Irish Residents on Domestic Travel","2017","Mayo","Thousand","1541"
"Number of Nights by Irish Residents on Domestic Travel","2017","Dublin","Thousand","3099"
"Number of Nights by Irish Residents on Domestic Travel","2017","Meath","Thousand","408"
"Number of Nights by Irish Residents on Domestic Travel","2017","Wicklow","Thousand","698"
"Number of Nights by Irish Residents on Domestic Travel","2017","Clare","Thousand","1223"
"Number of Nights by Irish Residents on Domestic Travel","2017","Limerick","Thousand","663"
"Number of Nights by Irish Residents on Domestic Travel","2017","Kilkenny","Thousand","551"
"Number of Nights by Irish Residents on Domestic Travel","2017","Waterford","Thousand","825"
"Number of Nights by Irish Residents on Domestic Travel","2017","Wexford","Thousand","2083"
"Number of Nights by Irish Residents on Domestic Travel","2017","Cork","Thousand","2888"
"Number of Nights by Irish Residents on Domestic Travel","2017","Kerry","Thousand","2921"
"Number of Nights by Irish Residents on Domestic Travel","2017","Tipperary","Thousand","661"
"Number of Nights by Irish Residents on Domestic Travel","2017","Kildare and Carlow","Thousand","512"
"Number of Nights by Irish Residents on Domestic Travel","2017","Laois and Offaly","Thousand","425"
"Number of Nights by Irish Residents on Domestic Travel","2017","Louth and Monaghan","Thousand","434"
"Number of Nights by Irish Residents on Domestic Travel","2017","Cavan and Leitrim","Thousand","461"
"Number of Nights by Irish Residents on Domestic Travel","2017","Roscommon and Longford","Thousand","250"
"Number of Nights by Irish Residents on Domestic Travel","2018","State","Thousand","28393"
"Number of Nights by Irish Residents on Domestic Travel","2018","Donegal","Thousand","1346"
"Number of Nights by Irish Residents on Domestic Travel","2018","Sligo","Thousand","1083"
"Number of Nights by Irish Residents on Domestic Travel","2018","Westmeath","Thousand","407"
"Number of Nights by Irish Residents on Domestic Travel","2018","Galway","Thousand","2599"
"Number of Nights by Irish Residents on Domestic Travel","2018","Mayo","Thousand","1697"
"Number of Nights by Irish Residents on Domestic Travel","2018","Dublin","Thousand","3673"
"Number of Nights by Irish Residents on Domestic Travel","2018","Meath","Thousand","284"
"Number of Nights by Irish Residents on Domestic Travel","2018","Wicklow","Thousand","742"
"Number of Nights by Irish Residents on Domestic Travel","2018","Clare","Thousand","1471"
"Number of Nights by Irish Residents on Domestic Travel","2018","Limerick","Thousand","752"
"Number of Nights by Irish Residents on Domestic Travel","2018","Kilkenny","Thousand","559"
"Number of Nights by Irish Residents on Domestic Travel","2018","Waterford","Thousand","1654"
"Number of Nights by Irish Residents on Domestic Travel","2018","Wexford","Thousand","2339"
"Number of Nights by Irish Residents on Domestic Travel","2018","Cork","Thousand","3360"
"Number of Nights by Irish Residents on Domestic Travel","2018","Kerry","Thousand","3624"
"Number of Nights by Irish Residents on Domestic Travel","2018","Tipperary","Thousand","670"
"Number of Nights by Irish Residents on Domestic Travel","2018","Kildare and Carlow","Thousand","530"
"Number of Nights by Irish Residents on Domestic Travel","2018","Laois and Offaly","Thousand","449"
"Number of Nights by Irish Residents on Domestic Travel","2018","Louth and Monaghan","Thousand","436"
"Number of Nights by Irish Residents on Domestic Travel","2018","Cavan and Leitrim","Thousand","437"
"Number of Nights by Irish Residents on Domestic Travel","2018","Roscommon and Longford","Thousand","281"
"Number of Nights by Irish Residents on Domestic Travel","2019","State","Thousand","29469"
"Number of Nights by Irish Residents on Domestic Travel","2019","Donegal","Thousand","1363"
"Number of Nights by Irish Residents on Domestic Travel","2019","Sligo","Thousand","888"
"Number of Nights by Irish Residents on Domestic Travel","2019","Westmeath","Thousand","380"
"Number of Nights by Irish Residents on Domestic Travel","2019","Galway","Thousand","2972"
"Number of Nights by Irish Residents on Domestic Travel","2019","Mayo","Thousand","1933"
"Number of Nights by Irish Residents on Domestic Travel","2019","Dublin","Thousand","3395"
"Number of Nights by Irish Residents on Domestic Travel","2019","Meath","Thousand","423"
"Number of Nights by Irish Residents on Domestic Travel","2019","Wicklow","Thousand","753"
"Number of Nights by Irish Residents on Domestic Travel","2019","Clare","Thousand","1555"
"Number of Nights by Irish Residents on Domestic Travel","2019","Limerick","Thousand","713"
"Number of Nights by Irish Residents on Domestic Travel","2019","Kilkenny","Thousand","671"
"Number of Nights by Irish Residents on Domestic Travel","2019","Waterford","Thousand","1267"
"Number of Nights by Irish Residents on Domestic Travel","2019","Wexford","Thousand","2411"
"Number of Nights by Irish Residents on Domestic Travel","2019","Cork","Thousand","3171"
"Number of Nights by Irish Residents on Domestic Travel","2019","Kerry","Thousand","4212"
"Number of Nights by Irish Residents on Domestic Travel","2019","Tipperary","Thousand","557"
"Number of Nights by Irish Residents on Domestic Travel","2019","Kildare and Carlow","Thousand","786"
"Number of Nights by Irish Residents on Domestic Travel","2019","Laois and Offaly","Thousand","340"
"Number of Nights by Irish Residents on Domestic Travel","2019","Louth and Monaghan","Thousand","565"
"Number of Nights by Irish Residents on Domestic Travel","2019","Cavan and Leitrim","Thousand","750"
"Number of Nights by Irish Residents on Domestic Travel","2019","Roscommon and Longford","Thousand","364"
"Number of Nights by Irish Residents on Domestic Travel","2020","State","Thousand","23518"
"Number of Nights by Irish Residents on Domestic Travel","2020","Donegal","Thousand","1502"
"Number of Nights by Irish Residents on Domestic Travel","2020","Sligo","Thousand","628"
"Number of Nights by Irish Residents on Domestic Travel","2020","Westmeath","Thousand","331"
"Number of Nights by Irish Residents on Domestic Travel","2020","Galway","Thousand","2211"
"Number of Nights by Irish Residents on Domestic Travel","2020","Mayo","Thousand","1822"
"Number of Nights by Irish Residents on Domestic Travel","2020","Dublin","Thousand","1885"
"Number of Nights by Irish Residents on Domestic Travel","2020","Meath","Thousand","215"
"Number of Nights by Irish Residents on Domestic Travel","2020","Wicklow","Thousand","489"
"Number of Nights by Irish Residents on Domestic Travel","2020","Clare","Thousand","1614"
"Number of Nights by Irish Residents on Domestic Travel","2020","Limerick","Thousand","576"
"Number of Nights by Irish Residents on Domestic Travel","2020","Kilkenny","Thousand","638"
"Number of Nights by Irish Residents on Domestic Travel","2020","Waterford","Thousand","962"
"Number of Nights by Irish Residents on Domestic Travel","2020","Wexford","Thousand","1373"
"Number of Nights by Irish Residents on Domestic Travel","2020","Cork","Thousand","2737"
"Number of Nights by Irish Residents on Domestic Travel","2020","Kerry","Thousand","3552"
"Number of Nights by Irish Residents on Domestic Travel","2020","Tipperary","Thousand","532"
"Number of Nights by Irish Residents on Domestic Travel","2020","Kildare and Carlow","Thousand","499"
"Number of Nights by Irish Residents on Domestic Travel","2020","Laois and Offaly","Thousand","362"
"Number of Nights by Irish Residents on Domestic Travel","2020","Louth and Monaghan","Thousand","342"
"Number of Nights by Irish Residents on Domestic Travel","2020","Cavan and Leitrim","Thousand","563"
"Number of Nights by Irish Residents on Domestic Travel","2020","Roscommon and Longford","Thousand","685"
"Number of Nights by Irish Residents on Domestic Travel","2021","State","Thousand","17886"
"Number of Nights by Irish Residents on Domestic Travel","2021","Donegal","Thousand","1458"
"Number of Nights by Irish Residents on Domestic Travel","2021","Sligo","Thousand","512"
"Number of Nights by Irish Residents on Domestic Travel","2021","Westmeath","Thousand","261"
"Number of Nights by Irish Residents on Domestic Travel","2021","Galway","Thousand","1969"
"Number of Nights by Irish Residents on Domestic Travel","2021","Mayo","Thousand","975"
"Number of Nights by Irish Residents on Domestic Travel","2021","Dublin","Thousand","1840"
"Number of Nights by Irish Residents on Domestic Travel","2021","Meath","Thousand","149"
"Number of Nights by Irish Residents on Domestic Travel","2021","Wicklow","Thousand","609"
"Number of Nights by Irish Residents on Domestic Travel","2021","Clare","Thousand","1023"
"Number of Nights by Irish Residents on Domestic Travel","2021","Limerick","Thousand","482"
"Number of Nights by Irish Residents on Domestic Travel","2021","Kilkenny","Thousand","222"
"Number of Nights by Irish Residents on Domestic Travel","2021","Waterford","Thousand","728"
"Number of Nights by Irish Residents on Domestic Travel","2021","Wexford","Thousand","1195"
"Number of Nights by Irish Residents on Domestic Travel","2021","Cork","Thousand","2362"
"Number of Nights by Irish Residents on Domestic Travel","2021","Kerry","Thousand","2289"
"Number of Nights by Irish Residents on Domestic Travel","2021","Tipperary","Thousand","226"
"Number of Nights by Irish Residents on Domestic Travel","2021","Kildare and Carlow","Thousand","583"
"Number of Nights by Irish Residents on Domestic Travel","2021","Laois and Offaly","Thousand","161"
"Number of Nights by Irish Residents on Domestic Travel","2021","Louth and Monaghan","Thousand","234"
"Number of Nights by Irish Residents on Domestic Travel","2021","Cavan and Leitrim","Thousand","328"
"Number of Nights by Irish Residents on Domestic Travel","2021","Roscommon and Longford","Thousand","280"
"Number of Nights by Irish Residents on Domestic Travel","2022","State","Thousand","34236"
"Number of Nights by Irish Residents on Domestic Travel","2022","Donegal","Thousand","1924"
"Number of Nights by Irish Residents on Domestic Travel","2022","Sligo","Thousand","1337"
"Number of Nights by Irish Residents on Domestic Travel","2022","Westmeath","Thousand","553"
"Number of Nights by Irish Residents on Domestic Travel","2022","Galway","Thousand","2703"
"Number of Nights by Irish Residents on Domestic Travel","2022","Mayo","Thousand","1946"
"Number of Nights by Irish Residents on Domestic Travel","2022","Dublin","Thousand","3703"
"Number of Nights by Irish Residents on Domestic Travel","2022","Meath","Thousand","487"
"Number of Nights by Irish Residents on Domestic Travel","2022","Wicklow","Thousand","975"
"Number of Nights by Irish Residents on Domestic Travel","2022","Clare","Thousand","1759"
"Number of Nights by Irish Residents on Domestic Travel","2022","Limerick","Thousand","914"
"Number of Nights by Irish Residents on Domestic Travel","2022","Kilkenny","Thousand","729"
"Number of Nights by Irish Residents on Domestic Travel","2022","Waterford","Thousand","1284"
"Number of Nights by Irish Residents on Domestic Travel","2022","Wexford","Thousand","3094"
"Number of Nights by Irish Residents on Domestic Travel","2022","Cork","Thousand","4084"
"Number of Nights by Irish Residents on Domestic Travel","2022","Kerry","Thousand","3679"
"Number of Nights by Irish Residents on Domestic Travel","2022","Tipperary","Thousand","603"
"Number of Nights by Irish Residents on Domestic Travel","2022","Kildare and Carlow","Thousand","866"
"Number of Nights by Irish Residents on Domestic Travel","2022","Laois and Offaly","Thousand","734"
"Number of Nights by Irish Residents on Domestic Travel","2022","Louth and Monaghan","Thousand","750"
"Number of Nights by Irish Residents on Domestic Travel","2022","Cavan and Leitrim","Thousand","935"
"Number of Nights by Irish Residents on Domestic Travel","2022","Roscommon and Longford","Thousand","1178"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","State","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Donegal","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Sligo","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Westmeath","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Galway","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Mayo","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Dublin","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Meath","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Wicklow","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Clare","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Limerick","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Kilkenny","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Waterford","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Wexford","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Cork","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Kerry","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Tipperary","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Kildare and Carlow","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Laois and Offaly","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Louth and Monaghan","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Cavan and Leitrim","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel","2010","Roscommon and Longford","Nights per Trip","2.8"
