"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2018","2018","Thousand","4688"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","214","Rented house/apartment","4","Other reason for journey","2019","2019","Thousand","4582"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2009","2009","Thousand","18177"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2010","2010","Thousand","15110"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2011","2011","Thousand","14785"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2012","2012","Thousand","13331"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2013","2013","Thousand","14336"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2014","2014","Thousand","16096"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2015","2015","Thousand","15794"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2016","2016","Thousand","17219"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2017","2017","Thousand","16969"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2018","2018","Thousand","17157"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","-","All reasons for journey","2019","2019","Thousand","17060"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2009","2009","Thousand","2429"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2010","2010","Thousand","2155"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2011","2011","Thousand","2330"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2012","2012","Thousand","2067"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2013","2013","Thousand","2384"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2014","2014","Thousand","2635"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2015","2015","Thousand","2621"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2016","2016","Thousand","2844"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2017","2017","Thousand","3080"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2018","2018","Thousand","2795"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","1","Holiday/leisure/recreation","2019","2019","Thousand","2800"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2009","2009","Thousand","14348"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2010","2010","Thousand","11922"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2011","2011","Thousand","11176"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2012","2012","Thousand","9736"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2013","2013","Thousand","10480"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2014","2014","Thousand","11545"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2015","2015","Thousand","11558"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2016","2016","Thousand","12729"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2017","2017","Thousand","12274"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2018","2018","Thousand","12750"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","2","Visit to friends/relatives","2019","2019","Thousand","12803"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2009","2009","Thousand","500"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2010","2010","Thousand","622"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2011","2011","Thousand","572"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2012","2012","Thousand","729"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2013","2013","Thousand","698"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2014","2014","Thousand","849"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2015","2015","Thousand","851"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2016","2016","Thousand","882"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2017","2017","Thousand","760"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2018","2018","Thousand","933"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","3","Business","2019","2019","Thousand","741"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2009","2009","Thousand","900"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2010","2010","Thousand","411"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2011","2011","Thousand","706"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2012","2012","Thousand","798"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2013","2013","Thousand","773"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2014","2014","Thousand","1068"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2015","2015","Thousand","764"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2016","2016","Thousand","764"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2017","2017","Thousand","854"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2018","2018","Thousand","680"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","222","Friends/relatives","4","Other reason for journey","2019","2019","Thousand","716"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2009","2009","Thousand","4484"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2010","2010","Thousand","3989"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2011","2011","Thousand","4169"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2012","2012","Thousand","4074"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2013","2013","Thousand","4451"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2014","2014","Thousand","5171"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2015","2015","Thousand","6729"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2016","2016","Thousand","7854"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2017","2017","Thousand","8594"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2018","2018","Thousand","9575"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","-","All reasons for journey","2019","2019","Thousand","8930"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2009","2009","Thousand","2856"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2010","2010","Thousand","2572"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2011","2011","Thousand","2783"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2012","2012","Thousand","2340"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2013","2013","Thousand","2996"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2014","2014","Thousand","3445"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2015","2015","Thousand","4645"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2016","2016","Thousand","5549"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2017","2017","Thousand","6101"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2018","2018","Thousand","6955"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","1","Holiday/leisure/recreation","2019","2019","Thousand","6301"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2009","2009","Thousand","780"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2010","2010","Thousand","509"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2011","2011","Thousand","514"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2012","2012","Thousand","455"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2013","2013","Thousand","454"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2014","2014","Thousand","578"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2015","2015","Thousand","663"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2016","2016","Thousand","795"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2017","2017","Thousand","864"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2018","2018","Thousand","927"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","2","Visit to friends/relatives","2019","2019","Thousand","1018"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2009","2009","Thousand","304"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2010","2010","Thousand","399"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2011","2011","Thousand","258"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2012","2012","Thousand","370"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2013","2013","Thousand","284"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2014","2014","Thousand","347"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2015","2015","Thousand","401"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2016","2016","Thousand","507"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2017","2017","Thousand","618"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2018","2018","Thousand","735"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","3","Business","2019","2019","Thousand","544"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2009","2009","Thousand","544"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2010","2010","Thousand","509"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2011","2011","Thousand","613"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2012","2012","Thousand","909"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2013","2013","Thousand","717"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2014","2014","Thousand","801"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2015","2015","Thousand","1021"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2016","2016","Thousand","1003"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2017","2017","Thousand","1010"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2018","2018","Thousand","958"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","92","Guest house/bed &breakfast","4","Other reason for journey","2019","2019","Thousand","1068"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2009","2009","Thousand","9553"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2010","2010","Thousand","9261"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2011","2011","Thousand","10324"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2012","2012","Thousand","10311"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2013","2013","Thousand","10992"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2014","2014","Thousand","11051"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2015","2015","Thousand","11900"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2016","2016","Thousand","12417"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2017","2017","Thousand","13082"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2018","2018","Thousand","13018"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","-","All reasons for journey","2019","2019","Thousand","12567"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2009","2009","Thousand","4242"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2010","2010","Thousand","3839"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2011","2011","Thousand","3206"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2012","2012","Thousand","3648"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2013","2013","Thousand","4135"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2014","2014","Thousand","4290"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2015","2015","Thousand","4812"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2016","2016","Thousand","5025"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2017","2017","Thousand","5539"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2018","2018","Thousand","5882"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","1","Holiday/leisure/recreation","2019","2019","Thousand","5358"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2009","2009","Thousand","1130"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2010","2010","Thousand","1053"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2011","2011","Thousand","1029"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2012","2012","Thousand","1439"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2013","2013","Thousand","1655"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2014","2014","Thousand","2058"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2015","2015","Thousand","1959"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2016","2016","Thousand","2198"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2017","2017","Thousand","2232"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2018","2018","Thousand","2196"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","2","Visit to friends/relatives","2019","2019","Thousand","2191"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2009","2009","Thousand","631"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2010","2010","Thousand","627"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2011","2011","Thousand","758"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2012","2012","Thousand","759"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2013","2013","Thousand","1120"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2014","2014","Thousand","1182"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2015","2015","Thousand","1109"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2016","2016","Thousand","1218"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2017","2017","Thousand","1437"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2018","2018","Thousand","1346"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","3","Business","2019","2019","Thousand","1269"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2009","2009","Thousand","3550"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2010","2010","Thousand","3741"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2011","2011","Thousand","5331"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2012","2012","Thousand","4464"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2013","2013","Thousand","4082"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2014","2014","Thousand","3521"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2015","2015","Thousand","4020"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2016","2016","Thousand","3975"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2017","2017","Thousand","3874"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2018","2018","Thousand","3595"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","999","Other","4","Other reason for journey","2019","2019","Thousand","3749"
