"C02173V04143","Area of Residence","TLIST(M1)","Month","STATISTIC","Statistic Label","UNIT","VALUE"
"ZZEURQ17","Other Europe (27)","201708","2017M08","TMM02C01","Overseas Trips to Ireland","Thousand","389.6"
"ZZEURQ17","Other Europe (27)","201708","2017M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","284.7"
"ZZEURQ17","Other Europe (27)","201709","2017M09","TMM02C01","Overseas Trips to Ireland","Thousand","321.4"
"ZZEURQ17","Other Europe (27)","201709","2017M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","294.8"
"ZZEURQ17","Other Europe (27)","201710","2017M10","TMM02C01","Overseas Trips to Ireland","Thousand","311.8"
"ZZEURQ17","Other Europe (27)","201710","2017M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","301"
"ZZEURQ17","Other Europe (27)","201711","2017M11","TMM02C01","Overseas Trips to Ireland","Thousand","250.9"
"ZZEURQ17","Other Europe (27)","201711","2017M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","309.1"
"ZZEURQ17","Other Europe (27)","201712","2017M12","TMM02C01","Overseas Trips to Ireland","Thousand","214.9"
"ZZEURQ17","Other Europe (27)","201712","2017M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","288.4"
"ZZEURQ17","Other Europe (27)","201801","2018M01","TMM02C01","Overseas Trips to Ireland","Thousand","206.5"
"ZZEURQ17","Other Europe (27)","201801","2018M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","305.2"
"ZZEURQ17","Other Europe (27)","201802","2018M02","TMM02C01","Overseas Trips to Ireland","Thousand","202.1"
"ZZEURQ17","Other Europe (27)","201802","2018M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","309.6"
"ZZEURQ17","Other Europe (27)","201803","2018M03","TMM02C01","Overseas Trips to Ireland","Thousand","269.7"
"ZZEURQ17","Other Europe (27)","201803","2018M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","304.9"
"ZZEURQ17","Other Europe (27)","201804","2018M04","TMM02C01","Overseas Trips to Ireland","Thousand","352.9"
"ZZEURQ17","Other Europe (27)","201804","2018M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","316.2"
"ZZEURQ17","Other Europe (27)","201805","2018M05","TMM02C01","Overseas Trips to Ireland","Thousand","385.3"
"ZZEURQ17","Other Europe (27)","201805","2018M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","331.1"
"ZZEURQ17","Other Europe (27)","201806","2018M06","TMM02C01","Overseas Trips to Ireland","Thousand","366.3"
"ZZEURQ17","Other Europe (27)","201806","2018M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","320.3"
"ZZEURQ17","Other Europe (27)","201807","2018M07","TMM02C01","Overseas Trips to Ireland","Thousand","422.8"
"ZZEURQ17","Other Europe (27)","201807","2018M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","326.7"
"ZZEURQ17","Other Europe (27)","201808","2018M08","TMM02C01","Overseas Trips to Ireland","Thousand","427.2"
"ZZEURQ17","Other Europe (27)","201808","2018M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","323.7"
"ZZEURQ17","Other Europe (27)","201809","2018M09","TMM02C01","Overseas Trips to Ireland","Thousand","343.5"
"ZZEURQ17","Other Europe (27)","201809","2018M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","318.6"
"ZZEURQ17","Other Europe (27)","201810","2018M10","TMM02C01","Overseas Trips to Ireland","Thousand","328.6"
"ZZEURQ17","Other Europe (27)","201810","2018M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","315.6"
"ZZEURQ17","Other Europe (27)","201811","2018M11","TMM02C01","Overseas Trips to Ireland","Thousand","257.6"
"ZZEURQ17","Other Europe (27)","201811","2018M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","317.6"
"ZZEURQ17","Other Europe (27)","201812","2018M12","TMM02C01","Overseas Trips to Ireland","Thousand","250.4"
"ZZEURQ17","Other Europe (27)","201812","2018M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","321.3"
"ZZEURQ17","Other Europe (27)","201901","2019M01","TMM02C01","Overseas Trips to Ireland","Thousand","231.6"
"ZZEURQ17","Other Europe (27)","201901","2019M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","329.2"
"ZZEURQ17","Other Europe (27)","201902","2019M02","TMM02C01","Overseas Trips to Ireland","Thousand","208.9"
"ZZEURQ17","Other Europe (27)","201902","2019M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","321.4"
"ZZEURQ17","Other Europe (27)","201903","2019M03","TMM02C01","Overseas Trips to Ireland","Thousand","289.5"
"ZZEURQ17","Other Europe (27)","201903","2019M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.3"
"ZZEURQ17","Other Europe (27)","201904","2019M04","TMM02C01","Overseas Trips to Ireland","Thousand","364.6"
"ZZEURQ17","Other Europe (27)","201904","2019M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.3"
"ZZEURQ17","Other Europe (27)","201905","2019M05","TMM02C01","Overseas Trips to Ireland","Thousand","367.4"
"ZZEURQ17","Other Europe (27)","201905","2019M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","313"
"ZZEURQ17","Other Europe (27)","201906","2019M06","TMM02C01","Overseas Trips to Ireland","Thousand","372.8"
"ZZEURQ17","Other Europe (27)","201906","2019M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.6"
"ZZEURQ17","Other Europe (27)","201907","2019M07","TMM02C01","Overseas Trips to Ireland","Thousand","419.7"
"ZZEURQ17","Other Europe (27)","201907","2019M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.1"
"ZZEURQ17","Other Europe (27)","201908","2019M08","TMM02C01","Overseas Trips to Ireland","Thousand","427.9"
"ZZEURQ17","Other Europe (27)","201908","2019M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","325.7"
"ZZEURQ17","Other Europe (27)","201909","2019M09","TMM02C01","Overseas Trips to Ireland","Thousand","355.7"
"ZZEURQ17","Other Europe (27)","201909","2019M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","331.5"
"ZZEURQ17","Other Europe (27)","201910","2019M10","TMM02C01","Overseas Trips to Ireland","Thousand","355.9"
"ZZEURQ17","Other Europe (27)","201910","2019M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","341.5"
"ZZEURQ17","Other Europe (27)","201911","2019M11","TMM02C01","Overseas Trips to Ireland","Thousand","240"
"ZZEURQ17","Other Europe (27)","201911","2019M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","299.9"
"ZZEURQ17","Other Europe (27)","201912","2019M12","TMM02C01","Overseas Trips to Ireland","Thousand","276.1"
"ZZEURQ17","Other Europe (27)","201912","2019M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","343.2"
"ZZEURQ17","Other Europe (27)","202001","2020M01","TMM02C01","Overseas Trips to Ireland","Thousand","232"
"ZZEURQ17","Other Europe (27)","202001","2020M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","331"
"ZZEURQ17","Other Europe (27)","202002","2020M02","TMM02C01","Overseas Trips to Ireland","Thousand","217.8"
"ZZEURQ17","Other Europe (27)","202002","2020M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","332.9"
"ZZWORX27","Other Areas  (27)","201601","2016M01","TMM02C01","Overseas Trips to Ireland","Thousand","36.1"
"ZZWORX27","Other Areas  (27)","201601","2016M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","43.7"
"ZZWORX27","Other Areas  (27)","201602","2016M02","TMM02C01","Overseas Trips to Ireland","Thousand","22.2"
"ZZWORX27","Other Areas  (27)","201602","2016M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","42.9"
"ZZWORX27","Other Areas  (27)","201603","2016M03","TMM02C01","Overseas Trips to Ireland","Thousand","37.1"
"ZZWORX27","Other Areas  (27)","201603","2016M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.9"
"ZZWORX27","Other Areas  (27)","201604","2016M04","TMM02C01","Overseas Trips to Ireland","Thousand","34.6"
"ZZWORX27","Other Areas  (27)","201604","2016M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","44.1"
"ZZWORX27","Other Areas  (27)","201605","2016M05","TMM02C01","Overseas Trips to Ireland","Thousand","44.8"
"ZZWORX27","Other Areas  (27)","201605","2016M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","42.8"
"ZZWORX27","Other Areas  (27)","201606","2016M06","TMM02C01","Overseas Trips to Ireland","Thousand","57.2"
"ZZWORX27","Other Areas  (27)","201606","2016M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","44.6"
"ZZWORX27","Other Areas  (27)","201607","2016M07","TMM02C01","Overseas Trips to Ireland","Thousand","68.7"
"ZZWORX27","Other Areas  (27)","201607","2016M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","46"
"ZZWORX27","Other Areas  (27)","201608","2016M08","TMM02C01","Overseas Trips to Ireland","Thousand","65.8"
"ZZWORX27","Other Areas  (27)","201608","2016M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","44.1"
"ZZWORX27","Other Areas  (27)","201609","2016M09","TMM02C01","Overseas Trips to Ireland","Thousand","55.7"
"ZZWORX27","Other Areas  (27)","201609","2016M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","45.3"
"ZZWORX27","Other Areas  (27)","201610","2016M10","TMM02C01","Overseas Trips to Ireland","Thousand","45.3"
"ZZWORX27","Other Areas  (27)","201610","2016M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.6"
"ZZWORX27","Other Areas  (27)","201611","2016M11","TMM02C01","Overseas Trips to Ireland","Thousand","36"
"ZZWORX27","Other Areas  (27)","201611","2016M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","49.7"
"ZZWORX27","Other Areas  (27)","201612","2016M12","TMM02C01","Overseas Trips to Ireland","Thousand","46.4"
"ZZWORX27","Other Areas  (27)","201612","2016M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","49.1"
"ZZWORX27","Other Areas  (27)","201701","2017M01","TMM02C01","Overseas Trips to Ireland","Thousand","43.9"
"ZZWORX27","Other Areas  (27)","201701","2017M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","51.3"
"ZZWORX27","Other Areas  (27)","201702","2017M02","TMM02C01","Overseas Trips to Ireland","Thousand","32.7"
"ZZWORX27","Other Areas  (27)","201702","2017M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","53.5"
"ZZWORX27","Other Areas  (27)","201703","2017M03","TMM02C01","Overseas Trips to Ireland","Thousand","34.1"
"ZZWORX27","Other Areas  (27)","201703","2017M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","51.7"
"ZZWORX27","Other Areas  (27)","201704","2017M04","TMM02C01","Overseas Trips to Ireland","Thousand","42.8"
"ZZWORX27","Other Areas  (27)","201704","2017M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","49.5"
"ZZWORX27","Other Areas  (27)","201705","2017M05","TMM02C01","Overseas Trips to Ireland","Thousand","59.3"
"ZZWORX27","Other Areas  (27)","201705","2017M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","58.2"
"ZZWORX27","Other Areas  (27)","201706","2017M06","TMM02C01","Overseas Trips to Ireland","Thousand","67.1"
"ZZWORX27","Other Areas  (27)","201706","2017M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","53"
"ZZWORX27","Other Areas  (27)","201707","2017M07","TMM02C01","Overseas Trips to Ireland","Thousand","73.4"
"ZZWORX27","Other Areas  (27)","201707","2017M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.1"
"ZZWORX27","Other Areas  (27)","201708","2017M08","TMM02C01","Overseas Trips to Ireland","Thousand","75.2"
"ZZWORX27","Other Areas  (27)","201708","2017M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","50.8"
"ZZWORX27","Other Areas  (27)","201709","2017M09","TMM02C01","Overseas Trips to Ireland","Thousand","62.4"
"ZZWORX27","Other Areas  (27)","201709","2017M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","52.6"
"ZZWORX27","Other Areas  (27)","201710","2017M10","TMM02C01","Overseas Trips to Ireland","Thousand","45.6"
"ZZWORX27","Other Areas  (27)","201710","2017M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.7"
"ZZWORX27","Other Areas  (27)","201711","2017M11","TMM02C01","Overseas Trips to Ireland","Thousand","33"
"ZZWORX27","Other Areas  (27)","201711","2017M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","48.7"
"ZZWORX27","Other Areas  (27)","201712","2017M12","TMM02C01","Overseas Trips to Ireland","Thousand","49.7"
"ZZWORX27","Other Areas  (27)","201712","2017M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","52.7"
"ZZWORX27","Other Areas  (27)","201801","2018M01","TMM02C01","Overseas Trips to Ireland","Thousand","43.6"
"ZZWORX27","Other Areas  (27)","201801","2018M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","52.1"
"ZZWORX27","Other Areas  (27)","201802","2018M02","TMM02C01","Overseas Trips to Ireland","Thousand","30.1"
"ZZWORX27","Other Areas  (27)","201802","2018M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","51.1"
"ZZWORX27","Other Areas  (27)","201803","2018M03","TMM02C01","Overseas Trips to Ireland","Thousand","38.7"
"ZZWORX27","Other Areas  (27)","201803","2018M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54.1"
"ZZWORX27","Other Areas  (27)","201804","2018M04","TMM02C01","Overseas Trips to Ireland","Thousand","45.7"
"ZZWORX27","Other Areas  (27)","201804","2018M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.5"
"ZZWORX27","Other Areas  (27)","201805","2018M05","TMM02C01","Overseas Trips to Ireland","Thousand","55.8"
"ZZWORX27","Other Areas  (27)","201805","2018M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54.3"
"ZZWORX27","Other Areas  (27)","201806","2018M06","TMM02C01","Overseas Trips to Ireland","Thousand","69"
"ZZWORX27","Other Areas  (27)","201806","2018M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54"
"ZZWORX27","Other Areas  (27)","201807","2018M07","TMM02C01","Overseas Trips to Ireland","Thousand","85.2"
"ZZWORX27","Other Areas  (27)","201807","2018M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.5"
"ZZWORX27","Other Areas  (27)","201808","2018M08","TMM02C01","Overseas Trips to Ireland","Thousand","83.2"
"ZZWORX27","Other Areas  (27)","201808","2018M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.9"
"ZZWORX27","Other Areas  (27)","201809","2018M09","TMM02C01","Overseas Trips to Ireland","Thousand","65.7"
"ZZWORX27","Other Areas  (27)","201809","2018M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","55.9"
"ZZWORX27","Other Areas  (27)","201810","2018M10","TMM02C01","Overseas Trips to Ireland","Thousand","53.4"
"ZZWORX27","Other Areas  (27)","201810","2018M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.8"
"ZZWORX27","Other Areas  (27)","201811","2018M11","TMM02C01","Overseas Trips to Ireland","Thousand","38.6"
"ZZWORX27","Other Areas  (27)","201811","2018M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","55.6"
"ZZWORX27","Other Areas  (27)","201812","2018M12","TMM02C01","Overseas Trips to Ireland","Thousand","51.8"
"ZZWORX27","Other Areas  (27)","201812","2018M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","54.5"
"ZZWORX27","Other Areas  (27)","201901","2019M01","TMM02C01","Overseas Trips to Ireland","Thousand","47.7"
"ZZWORX27","Other Areas  (27)","201901","2019M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.3"
"ZZWORX27","Other Areas  (27)","201902","2019M02","TMM02C01","Overseas Trips to Ireland","Thousand","36.9"
"ZZWORX27","Other Areas  (27)","201902","2019M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.7"
"ZZWORX27","Other Areas  (27)","201903","2019M03","TMM02C01","Overseas Trips to Ireland","Thousand","35.6"
"ZZWORX27","Other Areas  (27)","201903","2019M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","56.2"
"ZZWORX27","Other Areas  (27)","201904","2019M04","TMM02C01","Overseas Trips to Ireland","Thousand","49.4"
"ZZWORX27","Other Areas  (27)","201904","2019M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.3"
"ZZWORX27","Other Areas  (27)","201905","2019M05","TMM02C01","Overseas Trips to Ireland","Thousand","59.7"
"ZZWORX27","Other Areas  (27)","201905","2019M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","59.1"
"ZZWORX27","Other Areas  (27)","201906","2019M06","TMM02C01","Overseas Trips to Ireland","Thousand","76.4"
"ZZWORX27","Other Areas  (27)","201906","2019M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","60"
"ZZWORX27","Other Areas  (27)","201907","2019M07","TMM02C01","Overseas Trips to Ireland","Thousand","88.7"
"ZZWORX27","Other Areas  (27)","201907","2019M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","60.1"
"ZZWORX27","Other Areas  (27)","201908","2019M08","TMM02C01","Overseas Trips to Ireland","Thousand","86.3"
"ZZWORX27","Other Areas  (27)","201908","2019M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","59.1"
"ZZWORX27","Other Areas  (27)","201909","2019M09","TMM02C01","Overseas Trips to Ireland","Thousand","66.4"
"ZZWORX27","Other Areas  (27)","201909","2019M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.3"
"ZZWORX27","Other Areas  (27)","201910","2019M10","TMM02C01","Overseas Trips to Ireland","Thousand","55.7"
"ZZWORX27","Other Areas  (27)","201910","2019M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","58.4"
"ZZWORX27","Other Areas  (27)","201911","2019M11","TMM02C01","Overseas Trips to Ireland","Thousand","40"
"ZZWORX27","Other Areas  (27)","201911","2019M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.7"
"ZZWORX27","Other Areas  (27)","201912","2019M12","TMM02C01","Overseas Trips to Ireland","Thousand","54.2"
"ZZWORX27","Other Areas  (27)","201912","2019M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.1"
"ZZWORX27","Other Areas  (27)","202001","2020M01","TMM02C01","Overseas Trips to Ireland","Thousand","47.2"
"ZZWORX27","Other Areas  (27)","202001","2020M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","57.1"
"ZZWORX27","Other Areas  (27)","202002","2020M02","TMM02C01","Overseas Trips to Ireland","Thousand","33.9"
"ZZWORX27","Other Areas  (27)","202002","2020M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","74.8"
