"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","20121","2012Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1066"
"-","All reasons for journey","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","101"
"-","All reasons for journey","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1682"
"-","All reasons for journey","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","135"
"-","All reasons for journey","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1973"
"-","All reasons for journey","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","122"
"-","All reasons for journey","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1317"
"-","All reasons for journey","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","121"
"-","All reasons for journey","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1143"
"-","All reasons for journey","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","109"
"-","All reasons for journey","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1735"
"-","All reasons for journey","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","158"
"-","All reasons for journey","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2082"
"-","All reasons for journey","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","179"
"-","All reasons for journey","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1436"
"-","All reasons for journey","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","144"
"-","All reasons for journey","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1214"
"-","All reasons for journey","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","128"
"-","All reasons for journey","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1905"
"-","All reasons for journey","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","222"
"-","All reasons for journey","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2212"
"-","All reasons for journey","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","228"
"-","All reasons for journey","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1496"
"-","All reasons for journey","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","199"
"-","All reasons for journey","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1378"
"-","All reasons for journey","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","154"
"-","All reasons for journey","20152","2015Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2120"
"-","All reasons for journey","20152","2015Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","225"
"-","All reasons for journey","20153","2015Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2493"
"-","All reasons for journey","20153","2015Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","278"
"-","All reasons for journey","20154","2015Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1760"
"-","All reasons for journey","20154","2015Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","236"
"-","All reasons for journey","20161","2016Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1594"
"-","All reasons for journey","20161","2016Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","190"
"-","All reasons for journey","20162","2016Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2298"
"-","All reasons for journey","20162","2016Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","301"
"-","All reasons for journey","20163","2016Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2689"
"-","All reasons for journey","20163","2016Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","372"
"-","All reasons for journey","20164","2016Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1846"
"-","All reasons for journey","20164","2016Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","294"
"-","All reasons for journey","20171","2017Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1572"
"-","All reasons for journey","20171","2017Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","224"
"-","All reasons for journey","20172","2017Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2452"
"-","All reasons for journey","20172","2017Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","317"
"-","All reasons for journey","20173","2017Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2725"
"-","All reasons for journey","20173","2017Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","371"
"-","All reasons for journey","20174","2017Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1977"
"-","All reasons for journey","20174","2017Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","294"
"-","All reasons for journey","20181","2018Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1672"
"-","All reasons for journey","20181","2018Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","249"
"-","All reasons for journey","20182","2018Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2619"
"-","All reasons for journey","20182","2018Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","333"
"-","All reasons for journey","20183","2018Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2918"
"-","All reasons for journey","20183","2018Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","413"
"-","All reasons for journey","20184","2018Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2068"
"-","All reasons for journey","20184","2018Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","345"
"-","All reasons for journey","20191","2019Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1768"
"-","All reasons for journey","20191","2019Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","259"
"-","All reasons for journey","20192","2019Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2618"
"-","All reasons for journey","20192","2019Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","404"
"-","All reasons for journey","20193","2019Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2893"
"-","All reasons for journey","20193","2019Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","442"
"-","All reasons for journey","20194","2019Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","2078"
"-","All reasons for journey","20194","2019Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","347"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","363"
"1","Holiday/leisure/recreation","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","8"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","847"
"1","Holiday/leisure/recreation","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1058"
"1","Holiday/leisure/recreation","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","508"
"1","Holiday/leisure/recreation","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","433"
"1","Holiday/leisure/recreation","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","9"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","875"
"1","Holiday/leisure/recreation","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1141"
"1","Holiday/leisure/recreation","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","562"
"1","Holiday/leisure/recreation","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","466"
"1","Holiday/leisure/recreation","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","9"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","936"
"1","Holiday/leisure/recreation","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","21"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1230"
"1","Holiday/leisure/recreation","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","20"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","629"
"1","Holiday/leisure/recreation","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","528"
"1","Holiday/leisure/recreation","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1158"
"1","Holiday/leisure/recreation","20152","2015Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","26"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1450"
"1","Holiday/leisure/recreation","20153","2015Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","34"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","772"
"1","Holiday/leisure/recreation","20154","2015Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","23"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","674"
"1","Holiday/leisure/recreation","20161","2016Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","16"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1218"
"1","Holiday/leisure/recreation","20162","2016Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","39"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1531"
"1","Holiday/leisure/recreation","20163","2016Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","43"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","827"
"1","Holiday/leisure/recreation","20164","2016Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","669"
"1","Holiday/leisure/recreation","20171","2017Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","22"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1385"
"1","Holiday/leisure/recreation","20172","2017Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","34"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1587"
"1","Holiday/leisure/recreation","20173","2017Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","44"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","932"
"1","Holiday/leisure/recreation","20174","2017Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","37"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","771"
"1","Holiday/leisure/recreation","20181","2018Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","25"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1508"
"1","Holiday/leisure/recreation","20182","2018Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","36"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1755"
"1","Holiday/leisure/recreation","20183","2018Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1052"
"1","Holiday/leisure/recreation","20184","2018Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","40"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","810"
"1","Holiday/leisure/recreation","20191","2019Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1504"
"1","Holiday/leisure/recreation","20192","2019Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1753"
"1","Holiday/leisure/recreation","20193","2019Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","46"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","1002"
"1","Holiday/leisure/recreation","20194","2019Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","38"
"2","Visit to friends/relatives","20121","2012Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","377"
"2","Visit to friends/relatives","20121","2012Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20122","2012Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","448"
"2","Visit to friends/relatives","20122","2012Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","17"
"2","Visit to friends/relatives","20123","2012Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","502"
"2","Visit to friends/relatives","20123","2012Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20124","2012Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","432"
"2","Visit to friends/relatives","20124","2012Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","13"
"2","Visit to friends/relatives","20131","2013Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","410"
"2","Visit to friends/relatives","20131","2013Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20132","2013Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","445"
"2","Visit to friends/relatives","20132","2013Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","10"
"2","Visit to friends/relatives","20133","2013Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","592"
"2","Visit to friends/relatives","20133","2013Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"2","Visit to friends/relatives","20134","2013Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","520"
"2","Visit to friends/relatives","20134","2013Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","12"
"2","Visit to friends/relatives","20141","2014Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","457"
"2","Visit to friends/relatives","20141","2014Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","8"
"2","Visit to friends/relatives","20142","2014Q2","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","560"
"2","Visit to friends/relatives","20142","2014Q2","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","14"
"2","Visit to friends/relatives","20143","2014Q3","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","632"
"2","Visit to friends/relatives","20143","2014Q3","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","11"
"2","Visit to friends/relatives","20144","2014Q4","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","512"
"2","Visit to friends/relatives","20144","2014Q4","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
"2","Visit to friends/relatives","20151","2015Q1","TMQ19C1","Trips with at Least One Overnight in Ireland","Thousand","473"
"2","Visit to friends/relatives","20151","2015Q1","TMQ19C2","Same-Day Trips, No Overnight in Ireland","Thousand","15"
